No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
153,CALF CONSTRUCTION TURNKEY,Donegal,"Ernedale Heights, Ballyshannon",11,Cluid Housing Association,,,,,Q3-2017,
154,CALF CONSTRUCTION TURNKEY,Donegal,"Forge Road, Donegal",4,Cluid Housing Association,,,,,,Q3-2016
155,CAS CONSTRUCTION,Donegal,"Willowbrook, Glencar, Letterkenny",40,Apex Housing Association,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
156,CAS CONSTRUCTION,Donegal,"Meenmore, Dungloe",15,County Donegal Parents and Friends Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
157,CAS CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",10,Oaklee Housing Trust,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
158,CAS CONSTRUCTION,Donegal,"Glenrowan House, Drumkeen, Stranorlar",6,Apex Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
159,CAS CONSTRUCTION,Donegal,"Dunshenny House, Derry Road, Carndonagh",5,Apex Housing Association,,,,,Q2-2017,
160,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny",29,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
161,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
162,SHIP CONSTRUCTION,Donegal,Buncrana - Rockytown (Phase 1),21,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
163,SHIP CONSTRUCTION,Donegal,Carrigart (Phase 1),17,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
164,SHIP CONSTRUCTION,Donegal,Dunfanaghy,13,N/A,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
165,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
166,SHIP CONSTRUCTION,Donegal,"Emerald Drive, Killybegs (Phase 6)",9,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
167,SHIP CONSTRUCTION,Donegal,"Radharc na Tra Breige, Malin (Phase 3)",8,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
168,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 2),8,N/A,,,,,Q3-2017,
169,SHIP CONSTRUCTION,Donegal,Ardara (Phase 3),8,N/A,,,,,,Q2-2017
170,SHIP CONSTRUCTION,Donegal,Newtoncunningham,7,N/A,,,,,Q1-2017,
171,SHIP CONSTRUCTION,Donegal,"Cois Abhainn, St Johnston (Phase 2)",6,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
172,SHIP CONSTRUCTION,Donegal,Carndonagh - Abbots Wood (Phase 2),4,N/A,,,,,Q3-2017,
173,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 1),2,N/A,,,,,,Q2-2017
174,SHIP CONSTRUCTION,Donegal,"Ard Connell, Ardara (SRD)",1,N/A,,,,,,Q1-2017
175,SHIP CONSTRUCTION TURNKEY,Donegal,"Gleann Na Greine, Mullindrait, Stranorlar",21,N/A,,,,,Q2-2017,
176,CALF CONSTRUCTION,Dublin City,"St Mary?s Mansions, Dublin 1",80,Cluid Housing Association,,,,,Q4-2017,
177,CALF CONSTRUCTION,Dublin City,"Orchard Lawns, Ballyfermot",72,Co-operative Housing Ireland,,,,,Q4-2016,
178,CALF CONSTRUCTION,Dublin City,"Annamore Court, Ballyfermot",70,The Iveagh Trust,,,,,,Q2-2017
179,CALF CONSTRUCTION,Dublin City,"Tonlegee Road, Dublin 5 ",47,Fold Housing Association Ireland Ltd,,,,Scheme approved for CALF Funding Q4-2017,,
180,CALF CONSTRUCTION,Dublin City,"Dolphin Park, Rialto, Dublin 8",43,Fold Ireland Housing Association,,,,Scheme approved for Revised CALF funding Q3-2017,,
181,CALF CONSTRUCTION,Dublin City,"Richmond Road, Dublin 9",39,Co-operative Housing Ireland,,,,,Q2-2017,
182,CALF CONSTRUCTION,Dublin City,"Raleigh Court, Crumlin",33,T£ath Housing Association,,,,,Q2-2017,
183,CALF CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus Court, Cabra",33,Cluid Housing Association,,,,,,Q4-2017
184,CALF CONSTRUCTION,Dublin City,"5 6 Johns Lane West, Dublin 8",31,Focus Ireland,,,,,Q2-2017,
185,CALF CONSTRUCTION,Dublin City,"84 North King Street, Dublin 7 ",30,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
186,CALF CONSTRUCTION,Dublin City,"Poplar Row, Dublin 3",29,Oaklee Housing Trust,,,,Scheme approved for revised CALF approval Q2-2017,,
187,CALF CONSTRUCTION,Dublin City,"Harolds Cross, Dublin 6",28,Focus Ireland,,,,,,Q4-2016
188,CALF CONSTRUCTION,Dublin City,Ballygall Road East - Phase 2,11,Fold Ireland Housing Association,,,,,,Q1-2016
189,CALF CONSTRUCTION,Dublin City,"Wad River Close, Ballymun, Dublin 9",9,Cluid Housing Association,,,,Scheme re approved for approval Q3-2017,,
190,CALF CONSTRUCTION,Dublin City,"Dominic Place, Dublin",9,The Aids Fund,,,,Scheme approved for CALF funding Q2-2017,,
191,CALF CONSTRUCTION TURNKEY,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12",97,Fold Ireland Housing Association,,,,,Q1-2017,
192,CALF CONSTRUCTION TURNKEY,Dublin City,"Clongriffin, Dublin 13",84,The Iveagh Trust,,,,,Q3-2017,
193,CALF CONSTRUCTION TURNKEY,Dublin City,"Long Mile Road, Dublin 12",61,Respond!,,,,,Q2-2017,
194,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Phase 1",46,Túath Housing Association,,,,,,Q3-2016
195,CALF CONSTRUCTION TURNKEY,Dublin City,"Stormanstown Hall, Ballymun Road, (revised)",42,Oaklee Housing Trust,,,,,Q4-2016,
196,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Final Phase",22,Túath Housing Association,,,,,,Q1-2017
197,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 2",21,Túath Housing Association,,,,,,Q1-2017
198,CALF CONSTRUCTION TURNKEY,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5",16,Respond!,,,,,,Q4-2017
